DateTime,H500,H549,H617,H547,H553,H554,H622,H558
2018-08-27 08:30:00,2000.0,1868.0,700.0,816.0,200.0,288.0,444.0,452.0
2018-08-27 08:45:00,1604.0,1524.0,692.0,540.0,196.0,280.0,504.0,504.0
2018-08-27 09:00:00,1212.0,1384.0,780.0,520.0,128.0,296.0,504.0,440.0
2018-08-27 09:15:00,1136.0,932.0,800.0,416.0,120.0,432.0,524.0,452.0
2018-08-27 09:30:00,1136.0,948.0,696.0,364.0,136.0,340.0,488.0,432.0
2018-08-27 09:45:00,952.0,876.0,772.0,368.0,96.0,352.0,484.0,476.0
2018-08-27 10:00:00,976.0,648.0,712.0,320.0,108.0,356.0,444.0,332.0
2018-08-27 10:15:00,976.0,744.0,692.0,292.0,88.0,364.0,420.0,356.0
2018-08-27 10:30:00,932.0,780.0,756.0,384.0,120.0,464.0,400.0,372.0
2018-08-27 10:45:00,1032.0,736.0,164.0,312.0,76.0,368.0,392.0,344.0
2018-08-27 11:00:00,852.0,672.0,684.0,388.0,128.0,440.0,404.0,364.0
2018-08-27 11:15:00,908.0,760.0,836.0,352.0,124.0,444.0,436.0,332.0
2018-08-27 11:30:00,888.0,884.0,900.0,416.0,136.0,484.0,400.0,372.0
2018-08-27 11:45:00,1032.0,684.0,724.0,464.0,140.0,360.0,472.0,348.0
2018-08-27 12:00:00,984.0,640.0,704.0,420.0,88.0,444.0,368.0,368.0
2018-08-27 12:15:00,1168.0,748.0,880.0,352.0,124.0,316.0,452.0,380.0
2018-08-27 12:30:00,1104.0,820.0,872.0,464.0,56.0,400.0,432.0,368.0
2018-08-27 12:45:00,1092.0,776.0,776.0,424.0,112.0,488.0,384.0,336.0
2018-08-27 13:00:00,992.0,676.0,776.0,432.0,88.0,488.0,376.0,380.0
2018-08-27 13:15:00,908.0,728.0,824.0,404.0,116.0,368.0,472.0,368.0
2018-08-27 13:30:00,968.0,676.0,708.0,440.0,120.0,496.0,408.0,268.0
