DateTime,H500,H549,H617,H547,H553,H554,H622,H558
2018-09-03 08:30:00,1928.0,1800.0,696.0,884.0,204.0,264.0,524.0,580.0
2018-09-03 08:45:00,1540.0,1716.0,592.0,636.0,160.0,244.0,432.0,428.0
2018-09-03 09:00:00,1300.0,1244.0,784.0,584.0,148.0,356.0,496.0,552.0
2018-09-03 09:15:00,1004.0,1012.0,828.0,468.0,152.0,512.0,572.0,400.0
2018-09-03 09:30:00,988.0,868.0,744.0,476.0,156.0,468.0,524.0,444.0
2018-09-03 09:45:00,964.0,844.0,772.0,460.0,120.0,448.0,464.0,356.0
2018-09-03 10:00:00,868.0,788.0,788.0,472.0,108.0,392.0,508.0,368.0
2018-09-03 10:15:00,888.0,736.0,988.0,456.0,124.0,436.0,504.0,368.0
2018-09-03 10:30:00,964.0,624.0,896.0,376.0,136.0,456.0,372.0,432.0
2018-09-03 10:45:00,960.0,744.0,888.0,392.0,124.0,420.0,380.0,360.0
2018-09-03 11:00:00,912.0,812.0,716.0,488.0,76.0,492.0,416.0,344.0
2018-09-03 11:15:00,856.0,696.0,784.0,504.0,100.0,404.0,592.0,324.0
2018-09-03 11:30:00,1036.0,784.0,960.0,516.0,160.0,464.0,444.0,372.0
2018-09-03 11:45:00,1108.0,768.0,756.0,508.0,128.0,496.0,384.0,324.0
2018-09-03 12:00:00,1016.0,784.0,784.0,604.0,88.0,412.0,480.0,360.0
2018-09-03 12:15:00,1072.0,800.0,832.0,600.0,120.0,464.0,452.0,344.0
2018-09-03 12:30:00,1160.0,772.0,864.0,452.0,152.0,456.0,488.0,416.0
2018-09-03 12:45:00,980.0,796.0,796.0,532.0,108.0,428.0,380.0,340.0
2018-09-03 13:00:00,916.0,620.0,804.0,596.0,96.0,388.0,400.0,352.0
2018-09-03 13:15:00,908.0,860.0,736.0,544.0,132.0,476.0,444.0,416.0
2018-09-03 13:30:00,1120.0,816.0,736.0,512.0,104.0,516.0,396.0,344.0
