DateTime,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2018-09-03 08:30:00,44.0,58.0,68.0,53.0,64.0,44.0,50.0,61.0,67.0,52.0,69.0,101.0,128.0,124.0
2018-09-03 08:31:00,45.0,57.0,67.0,54.0,65.0,45.0,52.0,62.0,67.0,55.0,68.0,102.0,128.0,123.0
2018-09-03 08:32:00,45.0,57.0,67.0,54.0,65.0,46.0,54.0,61.0,65.0,56.0,68.0,100.0,129.0,124.0
2018-09-03 08:33:00,47.0,58.0,65.0,54.0,69.0,49.0,54.0,63.0,65.0,54.0,69.0,98.0,124.0,124.0
2018-09-03 08:34:00,45.0,59.0,71.0,56.0,67.0,51.0,59.0,65.0,65.0,55.0,67.0,98.0,121.0,119.0
2018-09-03 08:35:00,45.0,58.0,68.0,58.0,69.0,48.0,57.0,63.0,65.0,54.0,66.0,98.0,123.0,116.0
2018-09-03 08:36:00,44.0,58.0,68.0,57.0,71.0,49.0,58.0,62.0,64.0,52.0,67.0,99.0,121.0,118.0
2018-09-03 08:37:00,43.0,57.0,68.0,56.0,70.0,49.0,58.0,62.0,64.0,53.0,68.0,100.0,121.0,117.0
2018-09-03 08:38:00,43.0,55.0,65.0,54.0,69.0,48.0,57.0,62.0,65.0,53.0,70.0,100.0,122.0,118.0
2018-09-03 08:39:00,43.0,56.0,65.0,54.0,65.0,46.0,53.0,60.0,65.0,53.0,69.0,101.0,121.0,115.0
2018-09-03 08:40:00,43.0,56.0,64.0,55.0,64.0,45.0,51.0,59.0,66.0,55.0,71.0,102.0,121.0,117.0
2018-09-03 08:41:00,42.0,55.0,66.0,55.0,65.0,45.0,51.0,57.0,65.0,57.0,74.0,102.0,124.0,120.0
2018-09-03 08:42:00,42.0,52.0,64.0,57.0,67.0,46.0,51.0,58.0,66.0,57.0,74.0,100.0,126.0,122.0
2018-09-03 08:43:00,41.0,54.0,63.0,55.0,66.0,45.0,53.0,59.0,68.0,60.0,72.0,100.0,122.0,121.0
2018-09-03 08:44:00,41.0,52.0,64.0,56.0,66.0,44.0,51.0,58.0,70.0,56.0,69.0,100.0,122.0,119.0
2018-09-03 08:45:00,40.0,53.0,64.0,55.0,66.0,44.0,52.0,59.0,71.0,55.0,72.0,99.0,120.0,118.0
2018-09-03 08:46:00,40.0,52.0,64.0,56.0,64.0,42.0,51.0,57.0,71.0,57.0,74.0,100.0,117.0,114.0
2018-09-03 08:47:00,40.0,51.0,61.0,54.0,64.0,43.0,50.0,57.0,71.0,59.0,77.0,100.0,118.0,115.0
