DateTime,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2018-09-03 08:30:00,44,43,36,36,42,34,46,62,187,163,204,86,73,66
2018-09-03 08:45:00,41,41,34,34,35,31,34,36,153,148,191,85,64,62
2018-09-03 09:00:00,43,42,34,34,39,35,37,36,70,101,158,84,59,59
2018-09-03 09:15:00,46,42,36,38,44,38,41,38,49,37,60,71,51,51
2018-09-03 09:30:00,46,41,36,35,44,38,43,39,50,34,48,60,45,44
2018-09-03 09:45:00,44,41,35,35,41,37,40,38,48,34,45,57,46,41
2018-09-03 10:00:00,45,41,35,36,41,38,40,36,46,33,46,56,43,41
2018-09-03 10:15:00,44,42,35,35,45,40,43,40,50,33,45,56,44,43
2018-09-03 10:30:00,43,41,34,34,44,37,40,39,48,33,44,51,43,41
2018-09-03 10:45:00,41,39,34,34,43,37,38,37,47,34,45,52,43,40
2018-09-03 11:00:00,40,36,33,34,35,34,35,35,44,31,44,54,41,41
2018-09-03 11:15:00,44,41,35,35,43,37,40,35,45,31,45,52,40,40
2018-09-03 11:30:00,41,39,34,34,44,36,35,36,46,32,45,52,41,40
2018-09-03 11:45:00,38,34,29,33,36,32,34,35,46,31,43,52,44,43
2018-09-03 12:00:00,36,35,31,33,35,34,35,34,43,30,44,52,40,39
2018-09-03 12:15:00,39,38,33,35,38,36,37,35,46,34,46,57,46,46
2018-09-03 12:30:00,40,40,34,34,43,35,37,38,47,34,46,56,45,45
2018-09-03 12:45:00,38,37,32,33,41,34,35,35,44,32,45,56,45,45
2018-09-03 13:00:00,35,34,29,32,35,33,34,36,41,30,43,49,40,40
2018-09-03 13:15:00,39,36,32,34,38,34,34,35,43,31,44,51,41,41
2018-09-03 13:30:00,39,35,30,33,36,33,34,34,44,32,45,54,44,43
