DateTime,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2018-08-27 08:30:00,0,42,34,34,41,33,84,118,187,164,202,84,69,67
2018-08-27 08:45:00,0,36,33,34,36,30,37,37,160,149,195,80,61,60
2018-08-27 09:00:00,0,41,35,37,43,35,40,34,107,142,182,83,49,48
2018-08-27 09:15:00,0,40,34,35,45,40,45,40,56,105,186,125,46,45
2018-08-27 09:30:00,0,40,35,35,42,38,44,38,51,139,208,127,44,43
2018-08-27 09:45:00,0,38,35,34,40,34,40,34,68,166,229,136,40,40
2018-08-27 10:00:00,0,34,32,34,37,34,38,35,60,161,226,134,40,40
2018-08-27 10:15:00,0,37,34,34,35,34,35,33,43,136,213,133,41,41
2018-08-27 10:30:00,24,41,33,34,35,34,36,34,43,86,147,107,51,49
2018-08-27 10:45:00,45,43,34,38,43,36,41,39,44,35,62,67,45,45
2018-08-27 11:00:00,41,37,33,32,38,33,36,33,43,30,45,53,41,41
2018-08-27 11:15:00,60,43,34,36,41,36,39,34,45,33,45,52,41,41
2018-08-27 11:30:00,45,36,32,36,39,35,38,35,44,33,45,56,42,43
2018-08-27 11:45:00,45,40,34,34,38,35,39,34,44,33,71,47,40,39
2018-08-27 12:00:00,44,40,33,34,38,35,40,35,65,142,212,40,34,33
2018-08-27 12:15:00,45,40,35,35,38,36,41,35,91,168,227,51,39,38
2018-08-27 12:30:00,43,39,33,34,39,36,40,36,70,88,116,72,52,50
2018-08-27 12:45:00,44,39,33,34,34,34,38,34,44,35,46,57,46,46
2018-08-27 13:00:00,41,35,32,34,35,34,38,33,43,31,44,50,40,40
2018-08-27 13:15:00,46,40,34,34,37,36,40,34,45,31,45,52,40,40
2018-08-27 13:30:00,45,40,34,34,34,40,45,34,45,34,45,57,40,45
